	Shamrep1	Shamrep2	Shamrep3	ShamM1	ShamM2	MCAOrep1	MCAOrep2	MCAOrep3	MCAOrep4	MCAOrep5	D1M1	D1M2
1110004F10Rik	14.092929292929291	14.09292929292929	14.092929292929288	14.09292929292929	14.092929292929295	12.236652236652244	12.23665223665225	12.236652236652233	12.236652236652244	12.236652236652242	12.236652236652226	12.236652236652219
1110007C09Rik	11.66464646464642	11.66464646464641	11.664646464646435	11.664646464646584	11.664646464646566	14.246753246753256	14.246753246753244	14.246753246753237	14.246753246753237	14.246753246753258	14.246753246753137	14.246753246753284
1110008F13Rik	11.686868686868682	11.686868686868676	11.686868686868678	11.68686868686871	11.686868686868722	8.787878787878796	8.78787878787879	8.787878787878778	8.787878787878801	8.787878787878803	8.787878787878768	8.78787878787882
1110008L16Rik	24.614141414141407	24.614141414141407	24.61414141414141	24.614141414141418	24.614141414141418	24.84992784992785	24.84992784992785	24.84992784992785	24.84992784992785	24.84992784992785	24.849927849927845	24.84992784992786
1110008P14Rik	22.428282828282825	22.428282828282825	22.42828282828282	22.42828282828282	22.428282828282825	22.568542568542565	22.568542568542565	22.56854256854256	22.568542568542558	22.56854256854256	22.568542568542576	22.56854256854256
1110012L19Rik	24.888888888888882	24.888888888888886	24.888888888888882	24.888888888888886	24.888888888888882	24.67965367965368	24.67965367965368	24.679653679653676	24.679653679653676	24.679653679653676	24.67965367965368	24.679653679653672
1110032A03Rik	21.892929292929292	21.8929292929293	21.89292929292928	21.892929292929253	21.892929292929235	24.659451659451666	24.659451659451676	24.659451659451666	24.65945165945166	24.659451659451648	24.659451659451687	24.65945165945163
1110032F04Rik	12.06666666666666	12.066666666666658	12.066666666666665	12.066666666666697	12.066666666666706	14.33189033189033	14.331890331890321	14.331890331890328	14.331890331890332	14.33189033189034	14.331890331890307	14.331890331890357
1110034G24Rik	22.89696969696969	22.89696969696969	22.896969696969695	22.89696969696968	22.896969696969684	24.58874458874459	24.588744588744586	24.58874458874459	24.588744588744586	24.588744588744586	24.588744588744596	24.58874458874458
1110037F02Rik	19.0828282828283	19.082828282828302	19.082828282828288	19.082828282828213	19.08282828282823	18.607503607503602	18.607503607503617	18.607503607503602	18.607503607503606	18.607503607503602	18.60750360750366	18.607503607503613
